Vgs,Id,gm,gds,cgg,vth,Length,Width
0.8,0.00004983024,0.0001736854,0.000004840002,8.069989E-15,0.2547715,0.000001,5.00E-06
0.9,0.0000684274,0.0001975358,0.000006227542,8.272425E-15,0.2547715,0.000001,5.00E-06
1,0.00008919025,0.0002169781,0.00000793828,8.456854E-15,0.2547715,0.000001,5.00E-06
1.1,0.000111674,0.0002319493,0.00001019777,8.63208E-15,0.2547715,0.000001,5.00E-06
1.2,0.0001354297,0.0002424037,0.00001341887,8.805626E-15,0.2547715,0.000001,5.00E-06
1.3,0.0001599993,0.0002481884,0.00001828104,8.985466E-15,0.2547715,0.000001,5.00E-06
1.4,0.0001849026,0.0002490283,0.00002575004,9.180934E-15,0.2547715,0.000001,5.00E-06
1.5,0.0002096319,0.0002446855,0.00003691003,9.401169E-15,0.2547715,0.000001,5.00E-06
1.6,0.00023367,0.0002352673,0.00005254334,9.649888E-15,0.2547715,0.000001,5.00E-06
1.7,0.000256539,0.0002214687,0.00007266852,9.920419E-15,0.2547715,0.000001,5.00E-06
1.8,0.0002778585,0.000204508,0.00009642069,1.019708E-14,0.2547715,0.000001,5.00E-06
1.9,0.0002973827,0.0001857916,0.0001223804,1.046228E-14,0.2547715,0.000001,5.00E-06
2,0.0003150009,0.0001665679,0.0001490638,1.070298E-14,0.2547715,0.000001,5.00E-06
2.1,0.000330711,0.0001477508,0.0001752639,1.091279E-14,0.2547715,0.000001,5.00E-06
2.2,0.0003445849,0.0001299105,0.0002001619,1.109079E-14,0.2547715,0.000001,5.00E-06
